user_id,trial_id,timestamp_s,sw_dt,sw_h,sw_m,sw_s,sw_ns,sw_rotvec_w,sw_rotvec_x,sw_rotvec_y,sw_rotvec_z,sw_rotvec_conf,sw_gyro_x,sw_gyro_y,sw_gyro_z,sw_lvel_x,sw_lvel_y,sw_lvel_z,sw_lacc_x,sw_lacc_y,sw_lacc_z,sw_pres,sw_grav_x,sw_grav_y,sw_grav_z,ph_dt,ph_h,ph_m,ph_s,ph_ns,ph_rotvec_w,ph_rotvec_x,ph_rotvec_y,ph_rotvec_z,ph_rotvec_conf,ph_gyro_x,ph_gyro_y,ph_gyro_z,ph_lvel_x,ph_lvel_y,ph_lvel_z,ph_lacc_x,ph_lacc_y,ph_lacc_z,ph_pres,ph_grav_x,ph_grav_y,ph_grav_z,sw_forward_w,sw_forward_x,sw_forward_y,sw_forward_z,ph_forward_w,ph_forward_x,ph_forward_y,ph_forward_z,sw_init_pres,label
recorded_user,1,0.017439,0.012884999625384808,17.0,44.0,54.0,110923000.0,0.7487879991531372,0.1253650039434433,0.04887000098824501,0.6490070223808289,246.0,-0.021991148591041565,0.021991148591041565,-0.020769421011209488,-0.00021568857482634485,-0.002228782046586275,-0.0026601592544466257,-0.021547814831137657,-0.22266076505184174,-0.26575639843940735,997.791015625,0.7663277983665466,2.4837121963500977,9.455913543701172,0.027367999777197838,17.0,44.0,55.0,259472000.0,0.5324401259422302,0.4155034124851227,0.48958688974380493,0.5515152812004089,-1.0,-0.013563975691795349,-0.01956154778599739,-0.0077399336732923985,-0.002456200774759054,0.001223438885062933,-0.002069465583190322,-0.08648768812417984,0.04307970404624939,-0.07286997884511948,999.1116943359375,-0.6193834543228149,9.634767532348633,1.719882845878601,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.020439,0.011264000087976456,17.0,44.0,54.0,122187000.0,0.7488700151443481,0.12495800107717514,0.04859599843621254,0.64901202917099,246.0,-0.04764748737215996,0.009773843921720982,-0.025656340643763542,0.0,-0.0028692714404314756,-0.0037372864317148924,0.0,-0.2849099934101105,-0.3711012303829193,997.791015625,0.7644883990287781,2.4802803993225098,9.456963539123535,0.003942999988794327,17.0,44.0,55.0,263415008.0,0.5325659513473511,0.4155290722846985,0.48953649401664734,0.551419198513031,-1.0,-0.0062613640911877155,-0.023365577682852745,-0.00923932995647192,-5.772648364654742e-05,0.00013568961003329605,-0.00019725097808986902,-0.012196004390716553,0.028667449951171875,-0.04167366027832031,999.1116943359375,-0.6197055578231812,9.63475227355957,1.7198562622070312,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.029432,0.006346999667584896,17.0,44.0,54.0,128534000.0,0.7489789724349976,0.12452799826860428,0.04813399910926819,0.6490030288696289,246.0,-0.0855211392045021,0.004886921960860491,-0.02932153455913067,0.0006710311863571405,-0.003570844419300556,-0.004265840630978346,0.06703764945268631,-0.35673606395721436,-0.42616787552833557,997.75927734375,0.763805627822876,2.474346876144409,9.458572387695312,0.008088000118732452,17.0,44.0,55.0,271503008.0,0.532680332660675,0.41559886932373047,0.4894818663597107,0.5513045787811279,-1.0,-0.005039634183049202,-0.02367101050913334,-0.011224638670682907,6.443620077334344e-05,7.8493234468624e-05,-0.00033766726846806705,0.006806790828704834,0.00829172134399414,-0.03566986322402954,999.1116943359375,-0.6202281713485718,9.634718894958496,1.7198532819747925,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.043439,0.005278999917209148,17.0,44.0,54.0,133813000.0,0.7491390109062195,0.12392699718475342,0.047449998557567596,0.6489840149879456,246.0,-0.1160643994808197,0.006108651868999004,-0.030543264001607895,0.0008173076785169542,-0.0037980766501277685,-0.004447115119546652,0.08140286058187485,-0.37828385829925537,-0.4429273009300232,997.75927734375,0.7629850506782532,2.4643595218658447,9.461246490478516,0.014436000026762486,17.0,44.0,55.0,285939008.0,0.5327804684638977,0.4156767427921295,0.4894091486930847,0.5512136816978455,-1.0,-0.005345064681023359,-0.02692895196378231,-0.01320994645357132,0.001062892028130591,8.500280091539025e-05,-0.0005862765829078853,0.07485292851924896,0.00598622253164649,-0.04128783941268921,999.1116943359375,-0.6195037961006165,9.634772300720215,1.719812035560608,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.052435,0.02059999853372574,17.0,44.0,54.0,154412992.0,0.749468982219696,0.1222039982676506,0.045559998601675034,0.6490640044212341,246.0,-0.1430848091840744,0.013726082630455494,-0.045201655477285385,0.0004822305345442146,-0.006727116648107767,-0.006799451075494289,0.03802364319562912,-0.5905078053474426,-0.5934644937515259,997.75927734375,0.7599268555641174,2.436783790588379,9.468631744384766,0.008715999312698841,17.0,44.0,55.0,294655008.0,0.5329241752624512,0.41587701439857483,0.489261656999588,0.5510545969009399,-1.0,-0.004123337101191282,-0.02020944282412529,-0.013922625221312046,0.00046629816642962396,7.924254896352068e-05,-0.00031995787867344916,0.09851586818695068,0.01674175262451172,-0.06759822368621826,999.1116943359375,-0.6191610097885132,9.63485336303711,1.7194851636886597,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.06243,0.02189899981021881,17.0,44.0,54.0,176312000.0,0.749779999256134,0.11997699737548828,0.0432870015501976,0.6492769718170166,246.0,-0.1509760171175003,-0.002003729809075594,-0.10022546350955963,9.586158557794988e-05,-0.00932253897190094,-0.011671148240566254,0.010954792611300945,-0.8610671758651733,-1.0254216194152832,997.75927734375,0.7540152072906494,2.4064722061157227,9.476853370666504,0.009607999585568905,17.0,44.0,55.0,304263008.0,0.5329996943473816,0.4160555303096771,0.4891783595085144,0.5509207248687744,-1.0,-0.0016798778669908643,-0.01182023249566555,-0.01156061515212059,0.001672666985541582,0.0001236870011780411,-0.00147831323556602,0.11779603362083435,0.008710543625056744,-0.10410885512828827,999.1143798828125,-0.6175239682197571,9.63533878326416,1.717354416847229,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.072434,0.01197499968111515,17.0,44.0,54.0,188287008.0,0.7501630187034607,0.1190439984202385,0.042204998433589935,0.6490769982337952,246.0,-0.15515977144241333,-0.03787364438176155,-0.15027284622192383,0.0008387889247387648,-0.011455459520220757,-0.01526595838367939,0.08379705995321274,-1.1444283723831177,-1.5251063108444214,997.75927734375,0.7522175908088684,2.392378807067871,9.480563163757324,0.007935999892652035,17.0,44.0,55.0,312199008.0,0.5330429673194885,0.41622528433799744,0.4891084134578705,0.5508127212524414,-1.0,-0.0033088508062064648,-0.0033088508062064648,-0.010461059398949146,0.0006139794131740928,-2.817161839629989e-05,-0.0004366324283182621,0.12971681356430054,-0.005951881408691406,-0.09224832057952881,999.1143798828125,-0.6169090867042542,9.635486602783203,1.7167420387268066,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.079433,0.012398999184370041,17.0,44.0,54.0,200686000.0,0.7506740093231201,0.11854799836874008,0.041662998497486115,0.6486120223999023,246.0,-0.19792033731937408,-0.045204028487205505,-0.1869247704744339,0.00048076920211315155,-0.013461538590490818,-0.020745189860463142,0.047884032130241394,-1.3407529592514038,-2.0661959648132324,997.75927734375,0.7518390417098999,2.3782896995544434,9.484137535095215,0.009413999505341053,17.0,44.0,55.0,321612992.0,0.5330581068992615,0.4163019359111786,0.48905301094055176,0.5507893562316895,-1.0,-0.007788512855768204,0.000610872230026871,-0.007406739052385092,0.0010337854037061334,-1.5158359019551426e-05,-0.000474229222163558,0.1092044860124588,-0.0016012615524232388,-0.050095465034246445,999.1143798828125,-0.6158376336097717,9.635589599609375,1.7165532112121582,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.089438,0.00891099963337183,17.0,44.0,54.0,209596992.0,0.7513800263404846,0.11791100353002548,0.04096699878573418,0.6479550004005432,246.0,-0.28466320037841797,-0.039095375686883926,-0.22968533635139465,0.0014858547365292907,-0.01622457429766655,-0.026361938565969467,0.14844051003456116,-1.6208745241165161,-2.63362193107605,997.75927734375,0.7512744665145874,2.360717535018921,9.488571166992188,0.01070299930870533,17.0,44.0,55.0,332316000.0,0.5330697894096375,0.4163138270378113,0.48899567127227783,0.5508199334144592,-1.0,-0.01353064551949501,0.003695699153468013,-0.004474576096981764,0.0012354685459285975,0.00011323473154334351,-2.931657581939362e-05,0.08700674027204514,0.007974452339112759,-0.0020645929034799337,999.1143798828125,-0.6143903136253357,9.635380744934082,1.718241810798645,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
recorded_user,1,0.103587,0.01955599896609783,17.0,44.0,54.0,229152992.0,0.7533680200576782,0.1153620034456253,0.03870600089430809,0.6462420225143433,246.0,-0.5370569229125977,-0.0319829024374485,-0.32969579100608826,0.0036427401937544346,-0.01713525876402855,-0.03309620916843414,0.32018959522247314,-1.6794103384017944,-3.2309248447418213,997.793212890625,0.7454524636268616,2.296393394470215,9.504801750183105,0.013320999220013618,17.0,44.0,55.0,345636992.0,0.5330654978752136,0.4162878096103668,0.48892027139663696,0.5509107112884521,-1.0,-0.020250165835022926,0.0008857539505697787,0.002489273902028799,0.0008472350891679525,-2.2930908016860485e-05,0.00035356206353753805,0.08949863910675049,-0.0024223322980105877,0.03734892979264259,999.1156005859375,-0.6127169728279114,9.635063171386719,1.7206242084503174,0.9586206674575806,-0.00046150031266734004,0.04575328156352043,-0.28098541498184204,0.5860521197319031,0.486549437046051,0.4723847210407257,0.4434695839881897,997.8009033203125,0
